,id,film,year,awards,nominations
143,a498275c-873e-4483-9b4e-a51d2f2a48db,Selma,2014,1,2
144,03416463-bf41-4fe8-9419-159d4b158dfe,Citizenfour,2014,1,1
145,380cb7f6-ec2b-4007-a890-f8b5eb47e840,Big Hero 6,2014,1,1
146,83a13d8d-c611-4b4a-890a-b3687044c0d9,Crisis Hotline: Veterans Press 1,2014,1,1
147,4e7f92d3-ba9c-41dd-a95f-427c47fe69da,The Phone Call,2014,1,1
148,314809c6-990f-4794-8c5a-c841fc3498c1,Still Alice,2014,1,1
149,a428e04b-4c86-45d8-a3ca-54e9e636d300,Feast,2014,1,1
150,654eb4ac-f5c4-41c1-8e4b-ab3cc25da1a5,12 Years a Slave,2013,3,9
151,219f6bef-0da6-472d-8269-05c9e130c4d5,Gravity,2013,7,10
152,b5d24aab-9180-46b2-bdf8-c0803ab1a530,Dallas Buyers Club,2013,3,6
153,b193b99b-91f8-40ba-97ef-4bc171d3a358,Frozen,2013,2,2
154,7e6aaced-c4ba-47d5-b013-0eaaa473e7ea,The Great Gatsby,2013,2,2
155,d3a340f8-17ce-4464-b5b9-1dfdccad38a1,Her,2013,1,5
156,d341b3c8-a461-4e70-a139-3f9538e35419,Blue Jasmine,2013,1,3
157,bb7cb219-2a00-47a7-ba8d-df7bad842679,Mr Hublot,2013,1,1
158,1142e3e1-460b-4919-a36e-068f2869d96f,The Lady in Number 6,2013,1,1
159,3b12cf43-d747-4591-80e9-04ebefbff4f0,Helium,2013,1,1
160,b23bdbe2-4c3e-4e6c-8e00-d74f220ebb7b,The Great Beauty,2013,1,1
161,49d0ef12-d5e2-47e5-9e9a-1aab308cc4c1,20 Feet from Stardom,2013,1,1
162,a7cf3bf0-196e-4e31-a5e1-b7c87403450d,Argo,2012,3,7
163,6b523d9a-cb76-46d2-81de-3b11a5e3bbd5,Life of Pi,2012,4,11
164,f7b541ce-e1b6-4e4d-9c87-0d995f066a9c,Les Misérables,2012,3,8
165,cd391119-397d-42ed-b4d0-448f6dfd5b8d,Lincoln,2012,2,12
166,72b97596-75d4-4a7d-83f7-adab2668f3e9,Django Unchained,2012,2,5
167,18810305-97c3-4941-a193-08ca968c4d95,Skyfall,2012,2,5
168,6bbe225e-3245-4716-8a45-5dbab667fdd9,Silver Linings Playbook,2012,1,8
169,1a5249bf-b0d0-4855-8d26-97bb90860466,Zero Dark Thirty,2012,1,5
170,6c55862d-3458-439b-9b4d-fcad80791543,Amour,2012,1,5
171,7a377959-b9a2-40ce-ac3e-0c55d4af01c8,Anna Karenina,2012,1,4
172,17e54e99-37aa-44f6-b893-c40530f7c761,Paperman,2012,1,1
